Nama Barang,Harga,Stok,Sold Out,Gambar,Terjual
be flash for brainrot - 1 GOD ESOK SEKOLA 50%,10000,10,YA,flash brainrot esok god 55PERSEN.png,2858
build a base and steal - 1 YETI OG(INFERNO) 1B/S,15000,0,YA,BUILD AND STEAL BASE YETI INFERNO 1B.png,50
NAIK DAN JATUHKAN BLOCK KEBERUNTUNGAN - 1 BRAINROT MASTODONTIK OMNIVERSE (HACKER) 700SP+/s,15000,10,,NAIK DAN JATUHKAN BLOCK OMNIVERSE MASTORDENTIK LV MAX 700SP.png,20
NAIK DAN JATUHKAN BLOCK KEBERUNTUNGAN - 1 BRAINROT CAPTAIN MOBY OMNIVERSE (HACKER) 300SP/s,10000,5,,NAIK DAN JATUHKAN BLOCK OMINVERSE KAPTAIN MOBY LV MAX 300SP.png,130
drill for brainrot - 1 ketupat kepat inf/s(tamat),15000,50,,Screenshot 2026-04-18 102335.png,595
drill for brainrot - 2 ketupat kepat inf/s(tamat),25000,50,,Screenshot 2026-04-18 102335.png,595
drill for brainrot - 1 MY EXAME 16M/s duit bulan,15000,50,,DRILL BRAINROT MY EXAME 16M S.png,225
drill for brainrot - 2 NUCLEARO 16M/s duit bulan,25000,50,,DRILL BRAINROT MY EXAME 16M S.png,225
Swing obby for brainrot - naga sepuh lv 500.000(langsung tamat),15000,0,YA,Screenshot 2026-04-14 055828.png,127
CAPYBARA VS TANAMAN - 1 ANGEL CAPYBARA TITAN 600K DPS,15000,0,YA,CAPYBARA VS TANAMAN ANGEL CAPYBARA TITAN 600K DPS.png,286
CAPYBARA VS TANAMAN - 1 SHINIGAMI CAPYBARA TITAN 1.3M DPS,30000,0,YA,CAPYBARA VS TANAMAN SHINIGAMI CAPYBARA TITAN 1.3M DPS.png,152
+1 KEKUATAN MENUMBUHKAN LENGAN ANDA - 1 BRAINROT SOVEREIGN RANDOM 500O+/S,10000,10,,GROW ARM SOVEREIGN RANDOM 3O S.png,300
+1 KEKUATAN MENUMBUHKAN LENGAN ANDA - 1 BRAINROT SOVEREIGN RANDOM 1N+/S,15000,10,,GROW ARM SVOREGIN RANDOM 1 N.png,520
STEAL A EGG - 1 PET RANDOM 100M/S+,15000,10,YA,STEAL A EGG PET RANDOM 100M.png,127
BECOME A BRAINROT - 1 BRAINROT STELLAR RANDOM LV MAX(500),10000,10,,BECOME BRAINROT STELLAR RANDOM LV MAX.png,100
BECOME A BRAINROT - UP LV MAX 2 BRAINROT BEBAS,10000,99999,,BECOME A BRAINROT DISPLAY.png,50
di dalam kepala brainrot - 1 ABADI RANDOM 1sp/s+,15000,10,,INSIDE BRAINROT HEAD ETERHNAL 1SP.png,1000
di dalam kepala brainrot - 2 ABADI RANDOM 1sp/s+,20000,10,,INSIDE BRAINROT HEAD ETERHNAL 1SP.png,500
di dalam kepala brainrot - 1 ABADI RANDOM 1sx/s+,10000,0,YA,inside brainrot head abadi 1sx.png,340
di dalam kepala brainrot - 2 ABADI RANDOM 1sx/s+,15000,0,YA,inside brainrot head abadi 1sx.png,340
BE MONKEY FOR BRAINROT - DAPAT 1 BRAINROT ALMIGHTY 69 1SXI/S LV MAX,10000,10,,BE MONKEY 69 1 SX ALGMYTI.png,100
BE MONKEY FOR BRAINROT - DAPAT 2 BRAINROT ALMIGHTY 69 1SXI/S LV MAX,15000,10,,BE MONKEY 69 1 SX ALGMYTI.png,100
pecahkan tape for brainrot - 1 brainrot RANDOM 1SX+/S,10000,10,,TAPE BRAINROT 1SX .png,20
pecahkan tape for brainrot - 2 brainrot RANDOM 1SX+/S,15000,10,,TAPE BRAINROT 1SX .png,20
LEPAR KOIN - DAPAT 10 TURBIN (PERPETUAL) 500 DC TERGANTUNG LUCK UANG,10000,10,,LEMPAR KOIN TURBIN 500 DC.png,100
LEPAR KOIN - DAPAT 20 TURBIN (PERPETUAL) 500 DC TERGANTUNG LUCK UANG,15000,10,,LEMPAR KOIN TURBIN 500 DC.png,1450
SWING WEB FOR LUCKY BLOCK - 1 BRAINROT ADMIN RANDOM 1QI/S+ TERGANTUNG REBIRTH (LANGSUNG SEPUH),10000,10,,SWING WEB BRAINROT ADMIN RANDOM 1QI.png,7
JATUH FOR BRAINROT - 1 BRAINROT RANDOM LV MAX  50N+/S,10000,15,YA,FALL FOR BRAINROT ETERNAL RANDOM 3 N.png,184
JATUH FOR BRAINROT - 1 BRAINROT RANDOM LV MAX  100N+/S,15000,3,,FALL FOR BRAINROT BRAINROT RANDOM 10N+.png,184
JATUH FOR BRAINROT - 1 BRAINROT TRANSENDENT LV MAX 1UD+/S,30000,2,,FALL FOR BRAINROT TRANSENDENT RANDOM 1UD.png,184
BRAIN BLAST FOR LUCKY BLOCK - 1 BRAINROT RANDOM EMPEREYAN 40 QA+/S(TERGANTUNG REBIRTH) LV MAX,10000,10,,BRAINBLAST EMPERAYAEN 40QA+.png,1027
BRAIN BLAST FOR LUCKY BLOCK - 2 BRAINROT RANDOM EMPEREYAN 40 QA+/S(TERGANTUNG REBIRTH) LV MAX,15000,10,,BRAINBLAST EMPERAYAEN 40QA+.png,127
+ 1 MINE PER KLICK - DAPAT 15 BATU 1 B,10000,10,,MINE PER KLICK BATU 1 B.png,50
steal a brainrot-chat admin,0,0,YA,WhatsApp Image 2026-04-14 at 08.02.58.png,
steal a brainrot-1 garam dan madung,50000,0,YA,WhatsApp Image 2026-04-17 at 13.13.31.png,
token tsunami brainrot(300),10000,0,YA,token.png,1000
token tsunami brainrot(1000),30000,0,YA,token.png,500
token grow a garden(250),10000,0,YA,token.png,200
RUSH LUCKY BLOCK - 2 MALAM XEON 1.6T+/S LV MAX TERGANTUNG REBIRTH + BONUS,10000,6,,"RUSH LUCKY BLOCK XEON 1,6T.png",1000
RUSH LUCKY BLOCK - 4 MALAM XEON 1.6T+/S LV MAX TERGANTUNG REBIRTH + BONUS,15000,6,,"RUSH LUCKY BLOCK XEON 1,6T.png",1000
tendang block keberuntungan -DAPAT 1 brainrot ABYSALL COINATOR lv max 4.8Q/s(ASTRAL) sepuh langka,10000,3,700,KALB COIATOR ASTRAL 4.8Q.png,54
tendang block keberuntungan -DAPAT 2 brainrot ABYSALL COINATOR lv max 4.8Q/s(ASTRAL) sepuh langka,15000,3,700,KALB COIATOR ASTRAL 4.8Q.png,54
Katalog Kosong 6 - v1,50000,,,,
Katalog Kosong 6 - v2,55000,,,,
Katalog Kosong 6 - v3,60000,,,,
Katalog Kosong 6 - v4,65000,,,,
Katalog Kosong 6 - v5,70000,,,,
Katalog Kosong 6 - v6,75000,,,,
Katalog Kosong 6 - v7,80000,,,,
Katalog Kosong 6 - v8,85000,,,,
Katalog Kosong 6 - v9,90000,,,,
Katalog Kosong 6 - v10,95000,,,,
Katalog Kosong 7 - v1,50000,,,,
Katalog Kosong 7 - v2,55000,,,,
Katalog Kosong 7 - v3,60000,,,,
Katalog Kosong 7 - v4,65000,,,,
Katalog Kosong 7 - v5,70000,,,,
Katalog Kosong 7 - v6,75000,,,,
Katalog Kosong 7 - v7,80000,,,,
Katalog Kosong 7 - v8,85000,,,,
Katalog Kosong 7 - v9,90000,,,,
Katalog Kosong 7 - v10,95000,,,,
